date,address,value
2023-05-24 22:39:53,0x111cff45948819988857bbf1966a0399e0d1141e,71885.63
2023-05-24 22:39:54,0x111cff45948819988857bbf1966a0399e0d1141e,71885.63
2023-05-24 22:39:54,0x111cff45948819988857bbf1966a0399e0d1141e,71885.63
2023-05-24 22:39:54,0x111cff45948819988857bbf1966a0399e0d1141e,71885.63
2023-05-24 22:39:54,0x111cff45948819988857bbf1966a0399e0d1141e,71885.63
2023-05-24 22:39:54,0x111cff45948819988857bbf1966a0399e0d1141e,71885.63
2023-05-24 22:39:55,0x111cff45948819988857bbf1966a0399e0d1141e,71885.63
2023-05-24 22:39:55,0x111cff45948819988857bbf1966a0399e0d1141e,71885.63
2023-05-24 22:39:55,0x111cff45948819988857bbf1966a0399e0d1141e,71885.63
2023-05-24 22:39:55,0x111cff45948819988857bbf1966a0399e0d1141e,71885.63
